Hour,Wind speed (m/s)_clipped,Visibility (10m)_clipped,Dew point temperature(°C)_clipped,Solar Radiation (MJ/m2)_clipped,Rainfall(mm)_clipped,Snowfall (cm)_clipped,Seasons,Holiday,Functioning Day,month,day
8,1.0,1319,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
9,1.2,1550,-13.8,0.12,0.0,0.0,Winter,No Holiday,Yes,January,5
10,1.3,1407,-12.2,0.4,0.0,0.0,Winter,No Holiday,Yes,January,5
11,1.5,1429,-11.1,0.76,0.0,0.0,Winter,No Holiday,Yes,January,5
12,2.2,1066,-10.8,1.01,0.0,0.0,Winter,No Holiday,Yes,January,5
13,2.0,1112,-10.2,0.98,0.0,0.0,Winter,No Holiday,Yes,January,5
14,2.0,1003,-10.4,0.99,0.0,0.0,Winter,No Holiday,Yes,January,5
15,2.8,1776,-12.6,0.84,0.0,0.0,Winter,No Holiday,Yes,January,5
16,2.9,2000,-13.1,0.61,0.0,0.0,Winter,No Holiday,Yes,January,5
17,3.3,1827,-11.0,0.24,0.0,0.0,Winter,No Holiday,Yes,January,5
18,2.2,1709,-12.4,0.01,0.0,0.0,Winter,No Holiday,Yes,January,5
19,0.6,1436,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
20,1.1,1391,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
21,0.9,1353,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
22,1.3,1300,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
23,1.9,1284,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,5
0,1.6,1247,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
1,1.2,1219,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
2,1.4,1285,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
3,1.0,1367,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
4,1.1,1260,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
5,1.0,1231,-11.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
6,0.7,1175,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
7,1.0,1320,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
8,1.1,1503,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
9,1.4,1728,-14.8,0.16,0.0,0.0,Winter,No Holiday,Yes,January,6
10,2.0,1946,-15.4,0.54,0.0,0.0,Winter,No Holiday,Yes,January,6
11,2.1,1812,-15.1,0.87,0.0,0.0,Winter,No Holiday,Yes,January,6
12,2.3,1672,-13.6,1.07,0.0,0.0,Winter,No Holiday,Yes,January,6
13,2.4,1895,-15.6,1.18,0.0,0.0,Winter,No Holiday,Yes,January,6
14,2.0,1693,-14.3,1.14,0.0,0.0,Winter,No Holiday,Yes,January,6
15,2.2,1877,-14.8,0.92,0.0,0.0,Winter,No Holiday,Yes,January,6
16,2.2,1811,-14.4,0.64,0.0,0.0,Winter,No Holiday,Yes,January,6
17,1.7,1989,-14.1,0.26,0.0,0.0,Winter,No Holiday,Yes,January,6
18,1.6,1797,-13.5,0.01,0.0,0.0,Winter,No Holiday,Yes,January,6
19,1.2,1663,-14.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
20,1.1,1578,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
21,0.8,1495,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
22,1.6,1492,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
23,0.8,1429,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,6
0,0.7,1574,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
1,0.2,1535,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
2,0.3,1594,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
3,0.6,1505,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
4,0.7,1377,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
5,0.7,1350,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
6,0.7,1503,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
7,0.9,1368,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
8,1.1,1411,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
9,1.6,1371,-12.9,0.18,0.0,0.0,Winter,No Holiday,Yes,January,7
10,1.8,1555,-13.6,0.48,0.0,0.0,Winter,No Holiday,Yes,January,7
11,1.4,1558,-13.2,0.75,0.0,0.0,Winter,No Holiday,Yes,January,7
12,0.9,1455,-13.0,0.6,0.0,0.0,Winter,No Holiday,Yes,January,7
13,0.8,1394,-12.7,0.5,0.0,0.0,Winter,No Holiday,Yes,January,7
14,0.7,1368,-13.0,0.41,0.0,0.0,Winter,No Holiday,Yes,January,7
15,0.9,1603,-12.7,0.43,0.0,0.0,Winter,No Holiday,Yes,January,7
16,1.0,1381,-12.4,0.27,0.0,0.0,Winter,No Holiday,Yes,January,7
17,0.2,1515,-12.3,0.13,0.0,0.0,Winter,No Holiday,Yes,January,7
18,1.2,1518,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
19,1.0,1419,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
20,0.4,1386,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
21,0.6,1378,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
22,0.5,1305,-11.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
23,0.6,1422,-11.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,7
0,1.1,1271,-10.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
1,0.2,1333,-10.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
2,0.5,1275,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
3,0.4,1261,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
4,0.8,1253,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
5,1.0,1394,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
6,0.7,1268,-9.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
7,0.8,1357,-10.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
8,0.7,1339,-9.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
9,0.9,1070,-9.2,0.05,0.0,0.0,Winter,No Holiday,Yes,January,8
10,0.8,971,-9.9,0.16,0.0,0.0,Winter,No Holiday,Yes,January,8
11,0.6,1062,-11.4,0.23,0.0,0.0,Winter,No Holiday,Yes,January,8
12,2.7,1281,-12.0,0.6,0.0,0.0,Winter,No Holiday,Yes,January,8
13,1.6,1518,-12.1,0.38,0.0,0.0,Winter,No Holiday,Yes,January,8
14,1.4,1267,-12.1,0.36,0.0,0.0,Winter,No Holiday,Yes,January,8
15,1.8,1293,-10.9,0.39,0.0,0.0,Winter,No Holiday,Yes,January,8
16,1.7,1702,-10.2,0.16,0.0,0.0,Winter,No Holiday,Yes,January,8
17,2.8,1957,-6.7,0.06,0.0,0.0,Winter,No Holiday,Yes,January,8
18,2.5,638,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
19,1.6,290,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
20,1.9,407,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
21,4.3999999999999995,692,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
22,4.3999999999999995,740,-5.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
23,4.2,936,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,8
0,4.3999999999999995,983,-6.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
1,4.3999999999999995,791,-6.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
2,3.3,1515,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
3,3.2,1420,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
4,4.3999999999999995,1451,-11.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
5,3.2,1821,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
6,3.7,1785,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
7,3.1,1686,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
8,3.2,1384,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
9,2.5,1547,-12.3,0.13,0.0,0.0,Winter,No Holiday,Yes,January,9
10,3.0,1559,-12.0,0.47,0.0,0.0,Winter,No Holiday,Yes,January,9
11,4.3999999999999995,1746,-12.5,0.73,0.0,0.0,Winter,No Holiday,Yes,January,9
12,2.4,1707,-13.0,1.05,0.0,0.0,Winter,No Holiday,Yes,January,9
13,4.0,1663,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes,January,9
14,3.7,1922,-12.1,1.06,0.0,0.0,Winter,No Holiday,Yes,January,9
15,4.3999999999999995,1458,-11.1,0.46,0.0,0.0,Winter,No Holiday,Yes,January,9
16,3.3,1541,-9.9,0.35,0.0,0.0,Winter,No Holiday,Yes,January,9
17,3.6,743,-8.3,0.23,0.0,0.0,Winter,No Holiday,Yes,January,9
18,1.7,1996,-10.8,0.01,0.0,0.0,Winter,No Holiday,Yes,January,9
19,0.6,2000,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
20,0.6,1992,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
21,0.9,2000,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
22,1.6,503,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
23,0.7,690,-7.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,9
0,0.8,152,-7.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
1,1.7,1982,-9.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
2,1.2,1925,-9.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
3,1.1,2000,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
4,2.2,2000,-10.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
5,1.6,2000,-10.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
6,1.1,2000,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
7,1.8,2000,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
8,2.6,1896,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
9,3.6,1637,-13.7,0.13,0.0,0.0,Winter,No Holiday,Yes,January,10
10,3.2,1576,-14.8,0.52,0.0,0.0,Winter,No Holiday,Yes,January,10
11,4.3999999999999995,1759,-15.3,0.86,0.0,0.0,Winter,No Holiday,Yes,January,10
12,4.3999999999999995,1830,-15.9,1.1,0.0,0.0,Winter,No Holiday,Yes,January,10
13,4.3999999999999995,1901,-15.7,1.18,0.0,0.0,Winter,No Holiday,Yes,January,10
14,4.3999999999999995,2000,-17.7,1.05,0.0,0.0,Winter,No Holiday,Yes,January,10
15,4.3999999999999995,2000,-19.0,0.99,0.0,0.0,Winter,No Holiday,Yes,January,10
16,3.9,2000,-20.2,0.69,0.0,0.0,Winter,No Holiday,Yes,January,10
17,4.0,2000,-19.8,0.31,0.0,0.0,Winter,No Holiday,Yes,January,10
18,4.3999999999999995,2000,-21.6,0.02,0.0,0.0,Winter,No Holiday,Yes,January,10
19,2.9,2000,-21.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
20,2.3,2000,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
21,2.0,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
22,2.8,2000,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
23,3.3,1997,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,10
0,2.4,1988,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
1,2.9,1987,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
2,2.7,1900,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
3,2.9,1872,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
4,2.3,1899,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
5,1.8,1759,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
6,2.3,1709,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
7,2.3,1738,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
8,1.6,1610,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
9,2.6,1781,-19.6,0.16,0.0,0.0,Winter,No Holiday,Yes,January,11
10,3.7,1638,-20.4,0.48,0.0,0.0,Winter,No Holiday,Yes,January,11
11,3.5,1629,-20.9,0.84,0.0,0.0,Winter,No Holiday,Yes,January,11
12,2.6,1700,-19.8,1.11,0.0,0.0,Winter,No Holiday,Yes,January,11
13,3.4,1593,-19.5,1.2,0.0,0.0,Winter,No Holiday,Yes,January,11
14,3.3,1718,-19.3,1.15,0.0,0.0,Winter,No Holiday,Yes,January,11
15,3.8,1745,-18.9,0.93,0.0,0.0,Winter,No Holiday,Yes,January,11
16,2.8,1807,-19.7,0.63,0.0,0.0,Winter,No Holiday,Yes,January,11
17,2.8,1900,-19.6,0.28,0.0,0.0,Winter,No Holiday,Yes,January,11
18,2.3,1985,-20.6,0.02,0.0,0.0,Winter,No Holiday,Yes,January,11
19,3.0,2000,-20.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
20,1.8,1953,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
21,2.2,1992,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
22,2.8,2000,-20.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
23,1.5,1972,-21.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,11
0,1.6,2000,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
1,3.0,2000,-22.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
2,2.6,2000,-23.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
3,1.8,2000,-23.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
4,2.0,2000,-23.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
5,1.1,2000,-23.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
6,2.3,2000,-24.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
7,0.9,2000,-24.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
8,1.2,2000,-24.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
9,1.2,1999,-25.5,0.16,0.0,0.0,Winter,No Holiday,Yes,January,12
10,2.2,1960,-24.6,0.59,0.0,0.0,Winter,No Holiday,Yes,January,12
11,2.4,1944,-25.0,0.94,0.0,0.0,Winter,No Holiday,Yes,January,12
12,2.0,1945,-25.1,1.17,0.0,0.0,Winter,No Holiday,Yes,January,12
13,2.0,1920,-23.1,1.19,0.0,0.0,Winter,No Holiday,Yes,January,12
14,2.3,1990,-22.6,1.14,0.0,0.0,Winter,No Holiday,Yes,January,12
15,2.4,1987,-22.8,0.96,0.0,0.0,Winter,No Holiday,Yes,January,12
16,1.1,2000,-24.6,0.66,0.0,0.0,Winter,No Holiday,Yes,January,12
17,1.5,2000,-24.7,0.28,0.0,0.0,Winter,No Holiday,Yes,January,12
18,2.0,2000,-22.9,0.02,0.0,0.0,Winter,No Holiday,Yes,January,12
19,1.1,2000,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
20,1.4,2000,-22.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
21,1.4,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
22,1.6,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
23,1.3,1821,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,12
0,1.6,1930,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
1,0.5,1964,-16.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
2,0.9,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
3,0.7,1996,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
4,0.8,1993,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
5,0.8,2000,-14.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
6,0.6,887,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
7,0.6,571,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
8,0.8,670,-10.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
9,0.6,330,-9.8,0.05,0.0,0.0,Winter,No Holiday,Yes,January,13
10,0.7,1354,-9.7,0.29,0.0,0.0,Winter,No Holiday,Yes,January,13
11,1.0,1244,-9.4,0.21,0.0,0.0,Winter,No Holiday,Yes,January,13
12,1.1,1140,-9.1,0.45,0.0,0.0,Winter,No Holiday,Yes,January,13
13,1.4,1087,-8.7,0.66,0.0,0.0,Winter,No Holiday,Yes,January,13
14,0.7,936,-8.1,0.55,0.0,0.0,Winter,No Holiday,Yes,January,13
15,0.9,957,-7.8,0.28,0.0,0.0,Winter,No Holiday,Yes,January,13
16,0.9,876,-7.3,0.19,0.0,0.0,Winter,No Holiday,Yes,January,13
17,1.0,761,-6.5,0.11,0.0,0.0,Winter,No Holiday,Yes,January,13
18,1.0,684,-6.7,0.01,0.0,0.0,Winter,No Holiday,Yes,January,13
19,0.8,633,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
20,1.1,596,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
21,0.7,522,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
22,0.4,435,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
23,0.7,420,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,13
0,0.7,414,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
1,0.9,438,-6.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
2,1.0,444,-6.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
3,1.6,471,-6.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
4,1.2,453,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
5,1.2,442,-7.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
6,1.1,433,-7.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
7,1.4,411,-7.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
8,0.8,412,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
9,1.6,432,-6.8,0.12,0.0,0.0,Winter,No Holiday,Yes,January,14
10,1.7,489,-6.4,0.34,0.0,0.0,Winter,No Holiday,Yes,January,14
11,0.7,537,-6.4,0.49,0.0,0.0,Winter,No Holiday,Yes,January,14
12,0.8,550,-6.1,0.74,0.0,0.0,Winter,No Holiday,Yes,January,14
13,1.4,568,-5.9,0.9,0.0,0.0,Winter,No Holiday,Yes,January,14
14,0.6,592,-5.0,0.74,0.0,0.0,Winter,No Holiday,Yes,January,14
15,0.9,824,-4.9,0.62,0.0,0.0,Winter,No Holiday,Yes,January,14
16,1.8,982,-4.5,0.43,0.0,0.0,Winter,No Holiday,Yes,January,14
17,1.1,1244,-4.7,0.17,0.0,0.0,Winter,No Holiday,Yes,January,14
18,1.3,1132,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
19,1.1,1102,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
20,1.0,1100,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
21,0.4,936,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
22,0.6,829,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
23,0.6,794,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,14
0,0.5,842,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
1,0.9,835,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
2,0.9,959,-2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
3,1.7,928,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
4,1.8,881,0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
5,1.9,808,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
6,3.0,582,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
7,1.0,357,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
8,1.1,470,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
9,1.7,399,1.7,0.11,0.0,0.0,Winter,No Holiday,Yes,January,15
10,2.2,560,1.3,0.22,0.0,0.0,Winter,No Holiday,Yes,January,15
11,2.3,533,0.6,0.54,0.0,0.0,Winter,No Holiday,Yes,January,15
12,1.9,549,-0.1,0.79,0.0,0.0,Winter,No Holiday,Yes,January,15
13,2.3,534,-0.8,0.91,0.0,0.0,Winter,No Holiday,Yes,January,15
14,2.1,646,-2.1,0.76,0.0,0.0,Winter,No Holiday,Yes,January,15
15,1.7,817,-6.0,0.63,0.0,0.0,Winter,No Holiday,Yes,January,15
16,0.9,813,-6.2,0.48,0.0,0.0,Winter,No Holiday,Yes,January,15
17,0.8,804,-6.1,0.23,0.0,0.0,Winter,No Holiday,Yes,January,15
18,1.3,647,-6.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
19,1.2,538,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
20,1.3,474,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
21,0.8,471,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
22,1.6,460,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
23,0.6,443,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,15
0,1.2,387,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
1,0.7,455,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
2,0.7,385,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
3,0.6,438,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
4,0.7,502,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
5,0.5,505,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
6,0.6,436,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
7,0.6,418,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
8,0.6,411,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
9,0.8,402,-3.9,0.06,0.0,0.0,Winter,No Holiday,Yes,January,16
10,0.5,392,-4.3,0.18,0.0,0.0,Winter,No Holiday,Yes,January,16
11,0.8,363,-3.8,0.28,0.0,0.0,Winter,No Holiday,Yes,January,16
12,1.2,349,-3.8,0.45,0.0,0.0,Winter,No Holiday,Yes,January,16
13,0.8,382,-4.6,0.53,0.0,0.0,Winter,No Holiday,Yes,January,16
14,0.8,468,-5.2,0.52,0.0,0.0,Winter,No Holiday,Yes,January,16
15,0.3,498,-6.3,0.19,0.0,0.0,Winter,No Holiday,Yes,January,16
16,0.9,547,-3.8,0.11,0.0,0.0,Winter,No Holiday,Yes,January,16
17,0.8,462,-2.4,0.08,0.0,0.0,Winter,No Holiday,Yes,January,16
18,1.4,427,-2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
19,1.0,432,-3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
20,0.8,383,-3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
21,0.7,434,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
22,0.3,430,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
23,0.9,379,-3.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,16
0,0.4,382,-3.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
1,0.4,339,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
2,0.8,310,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
3,0.8,297,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
4,0.5,322,-2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
5,0.8,325,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
6,1.1,270,-2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
7,0.9,289,-2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
8,0.6,296,-2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
9,0.7,306,-2.7,0.12,0.0,0.0,Winter,No Holiday,Yes,January,17
10,0.5,401,-3.2,0.23,0.0,0.0,Winter,No Holiday,Yes,January,17
11,1.0,436,-3.3,0.55,0.0,0.0,Winter,No Holiday,Yes,January,17
12,1.4,367,-1.4,0.75,0.0,0.0,Winter,No Holiday,Yes,January,17
13,1.8,435,-0.7,0.57,0.0,0.0,Winter,No Holiday,Yes,January,17
14,2.6,313,-1.0,0.58,0.0,0.0,Winter,No Holiday,Yes,January,17
15,1.3,400,-1.6,0.73,0.0,0.0,Winter,No Holiday,Yes,January,17
16,1.2,330,-0.4,0.44,0.0,0.0,Winter,No Holiday,Yes,January,17
17,3.3,342,-0.7,0.19,0.0,0.0,Winter,No Holiday,Yes,January,17
18,2.9,503,-1.5,0.01,0.0,0.0,Winter,No Holiday,Yes,January,17
19,2.4,446,-1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
20,1.7,361,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
21,1.1,333,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
22,0.5,309,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
23,0.8,291,-1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,January,17
0,1.0,290,-1.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
1,1.9,306,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
2,1.2,288,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
3,1.7,273,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
4,2.1,232,0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
5,2.0,229,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
6,2.0,211,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
7,1.1,189,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
8,1.2,197,-0.9,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
9,2.1,210,-1.2,0.07,0.0,0.0,Winter,No Holiday,Yes,January,18
10,2.1,255,-1.5,0.21,0.0,0.0,Winter,No Holiday,Yes,January,18
11,1.8,301,-2.1,0.35,0.0,0.0,Winter,No Holiday,Yes,January,18
12,2.4,256,-2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,January,18
